account_name,industry,arr,last_contact_date,account_tier,website,region,owner
American Humane,Animal Welfare,27100.00,2026-06-16,Mid-Market,https://www.americanhumane.org/,Africa,Rep A
Zakat Foundation of America,Religious,-500,2024-06-03,SMB,https://www.zakat.org/,North America,Rep C
Refugees International,International Aid,29050.00,2026-06-30,Mid-Market,https://www.refugeesinternational.org/,North America,Rep C
The Akanksha Foundation,Education,21800.00,2025-08-23,SMB,https://akanksha.org/,Asia Pacific,Rep A
Scripps Research,Research,5150.00,,SMB,https://www.scripps.edu/,Europe,Rep C
Sesame Workshop,Education,14700.00,2025-12-04,SMB,https://sesameworkshop.org/,Europe,Rep C
Mercy Corps,Human Services,91500.00,2026-02-17,Strategic,https://www.mercycorps.org/,Africa,Rep D
Crisis Text Line,,3650.00,2025-01-05,SMB,https://www.crisistextline.org/,Europe,Rep B
Internet Society,,22200.00,2026-07-07,Mid-Market,https://www.internetsociety.org/,North America,Rep D
OneGoal,Education,32750.00,2027-11-05,Mid-Market,https://www.onegoal.org/,North America,Rep A
Helen Keller Intl,Healthcare,40100.00,2026-06-14,Mid-Market,https://helenkellerintl.org/,Europe,Rep D
Alzheimer's Association,Healthcare,77500.00,2026-07-20,Enterprise,https://www.alz.org/,North America,Rep C
Plan International,International Aid,banana,2026-05-27,Mid-Market,https://plan-international.org/,North America,Rep C
New Teacher Center,Education,29050.00,2026-04-28,Mid-Market,https://newteachercenter.org/,North America,Rep D
Community Foundation for Greater Atlanta,Community Development,93350.00,2026-07-17,Enterprise,https://cfgreateratlanta.org/,North America,Rep A
Transparency International,,65850.00,2026-02-14,Strategic,https://www.transparency.org/,North America,Rep C
Boys & Girls Clubs of America,Human Services,98600.00,2026-07-27,Enterprise,https://www.bgca.org/,Europe,Rep A
National Community Reinvestment Coalition,Community Development,84250.00,2024-05-14,Strategic,https://ncrc.org/,Europe,Rep B
Shriners Children's,Healthcare,14200.00,2026-05-16,SMB,https://www.shrinerschildrens.org/,Europe,Rep C
Code.org,Education,9150.00,2026-02-08,SMB,https://code.org/,Africa,Rep C
PATH,Healthcare,76250.00,2026-03-20,Enterprise,https://www.path.org/,North America,Rep B
Action Against Hunger,Human Services,9150.00,2026-06-29,SMB,https://www.actionagainsthunger.org/,South America,Rep A
National Trust for Historic Preservation,Arts & Culture,0.00,2026-06-18,SMB,https://savingplaces.org/,North America,Rep C
Heifer International,Human Services,18550.00,2024-04-26,SMB,https://www.heifer.org/,North America,Rep D
Smile Train,,9450.00,2026-01-03,SMB,https://www.smiletrain.org/,Middle East,Rep B
Points of Light,Community Development,21800.00,2026-03-24,Mid-Market,https://www.pointsoflight.org/,Europe,Rep C
City Year,Human Services,91600.00,2026-04-07,Enterprise,https://www.cityyear.org/,North America,Rep B
Digital Promise,Education,97750.00,2026-07-09,Enterprise,https://digitalpromise.org/,Asia Pacific,Rep B
Thorn,,76250.00,2024-10-09,Enterprise,https://www.thorn.org/,North America,Rep A
Parkinson's Foundation,Healthcare,27500.00,2026-03-26,Mid-Market,https://www.parkinson.org/,North America,Rep A
Muslim Aid,Religious,0.00,2025-03-10,SMB,https://www.muslimaid.org/,Asia Pacific,Rep B
FHI 360,International Aid,24750.00,2025-07-28,Mid-Market,https://www.fhi360.org/,Europe,Rep A
Water.org,Human Services,,2026-05-03,Mid-Market,https://water.org/,North America,Rep C
"Save the Children Federation, Inc.",Human Services,84600.00,2026-06-17,Enterprise,http://savethechildren.org/,North America,Rep A
The Museum of Modern Art,Arts & Culture,75000.00,2026-06-28,Enterprise,https://www.moma.org/,South America,Rep A
Catholic Relief Services,Religious,38950.00,2026-05-07,Mid-Market,https://www.crs.org/,South America,Rep D
Independent Sector,Community Development,8200.00,2026-07-28,SMB,https://independentsector.org/,North America,Rep D
International Refugee Assistance Project,International Aid,0.00,2026-05-18,SMB,https://refugeerights.org/,North America,Rep D
Creative Capital,Arts & Culture,,2024-10-02,SMB,https://creative-capital.org/,South America,Rep D
DataKind,,0.00,2024-05-08,SMB,https://www.datakind.org/,North America,Rep C
Partners In Health,Healthcare,0.00,2026-07-01,Strategic,https://www.pih.org/,North America,Rep A
Make-A-Wish International,,70750.00,2024-05-25,Strategic,https://worldwish.org/,North America,Rep B
Ocean Conservancy,Environment,74450.00,2026-02-26,Enterprise,https://oceanconservancy.org/,North America,Rep C
IFAW,Animal Welfare,55600.00,2026-02-20,Mid-Market,https://www.ifaw.org/,Asia Pacific,Rep C
Acumen,Community Development,11350.00,2025-12-25,SMB,https://acumen.org/,North America,Rep A
Cary Institute of Ecosystem Studies,Research,73350.00,2026-06-02,Enterprise,https://www.caryinstitute.org/,North America,Rep A
Arbor Day Foundation,,9500.00,2026-07-10,SMB,https://www.arborday.org/,Europe,Rep D
350.org,Environment,,2023-05-24,SMB,https://350.org/,North America,Rep C
NeighborWorks America,Community Development,55200.00,2026-02-03,Strategic,https://www.neighborworks.org/,North America,Rep B
Girls Who Code,Education,6300.00,2025-11-20,SMB,https://girlswhocode.com/,Africa,Rep D
OpenStreetMap Foundation,,48100.00,2024-11-01,Mid-Market,https://osmfoundation.org/,Africa,Rep A
Cold Spring Harbor Laboratory,Research,94250.00,2024-09-24,Strategic,https://www.cshl.edu/,Asia Pacific,Rep B
Clean Air Task Force,,14700.00,2025-05-26,SMB,https://www.catf.us/,Africa,Rep B
Susan G. Komen,Healthcare,0.00,2026-07-19,SMB,https://www.komen.org/,Europe,Rep C
The Carter Center,Healthcare,54700.00,2023-01-06,Mid-Market,https://www.cartercenter.org/,Europe,Rep B
The Chicago Community Trust,Community Development,12400.00,,SMB,https://www.cct.org/,South America,Rep C
Trust for Public Land,,,2026-07-10,SMB,https://www.tpl.org/,Africa,Rep D
Wounded Warrior Project,,6700.00,,SMB,https://www.woundedwarriorproject.org/,North America,Rep D
Council on Foundations,Community Development,0.00,,SMB,https://cof.org/,North America,Rep D
Natural Resources Defense Council,Environment,45550.00,2025-07-29,Mid-Market,https://www.nrdc.org/,Europe,Rep B
Islamic Relief USA,Religious,9650.00,2026-06-30,SMB,https://irusa.org/,South America,Rep C
Americans for the Arts,Arts & Culture,25300.00,2026-06-03,Mid-Market,https://www.americansforthearts.org/,North America,Rep B
Make-A-Wish America,,19650.00,,Mid-Market,https://wish.org/,Asia Pacific,Rep C
Wildlife Conservation Society,Environment,14850.00,,SMB,https://www.wcs.org/,North America,Rep A
Pratham Education Foundation,Education,23700.00,2026-05-21,SMB,https://www.pratham.org/,North America,Rep D
First Book,Education,,2023-09-02,Mid-Market,https://firstbook.org/,North America,Rep A
Human Rights Watch,,,2026-06-11,SMB,https://www.hrw.org/,South America,Rep A
Samaritan's Purse,Religious,10850.00,2024-01-06,SMB,https://www.samaritanspurse.org/,Asia Pacific,Rep C
Covenant House International,Human Services,0.00,2026-07-05,SMB,https://www.covenanthouse.org/,North America,Rep C
The Boston Foundation,Community Development,37000.00,2026-07-15,Mid-Market,https://www.tbf.org/,North America,Rep B
Easterseals,Human Services,20900.00,2023-04-13,SMB,https://www.easterseals.com/,Asia Pacific,Rep A
KIPP Foundation,Education,,2024-03-13,SMB,https://www.kipp.org/,North America,Rep B
Habitat for Humanity International,Human Services,20950.00,2026-07-17,SMB,https://www.habitat.org/,North America,Rep C
Mental Health America,Healthcare,30650.00,2026-07-24,Mid-Market,https://mhanational.org/,North America,Rep C
African Wildlife Foundation,,97650.00,2026-03-13,Strategic,https://www.awf.org/,North America,Rep D
United Way Worldwide,Human Services,15650.00,2023-02-02,SMB,https://www.unitedway.org/,Middle East,Rep B
charity: water,Human Services,,2026-05-19,SMB,https://www.charitywater.org/,North America,Rep A
Search for Common Ground,International Aid,26950.00,2025-10-14,Mid-Market,https://www.sfcg.org/,North America,Rep C
Rainforest Alliance,Environment,67000.00,2024-09-13,Strategic,https://www.rainforest-alliance.org/,North America,Rep A
Reach Out and Read,Education,91300.00,2026-07-06,Enterprise,https://reachoutandread.org/,Middle East,Rep C
Earthjustice,Environment,0.00,2026-04-10,SMB,https://earthjustice.org/,Europe,Rep D
SOS Children's Villages International,International Aid,42550.00,2025-10-04,Mid-Market,https://www.sos-childrensvillages.org/,North America,Rep D
Cleveland Foundation,Community Development,43600.00,2026-06-23,Mid-Market,https://www.clevelandfoundation.org/,Asia Pacific,Rep A
Solomon R. Guggenheim Foundation,Arts & Culture,75650.00,2026-02-10,Strategic,https://www.guggenheim.org/,North America,Rep B
Caritas Internationalis,Religious,103550.00,2026-01-13,Enterprise,https://www.caritas.org/,Asia Pacific,Rep A
Whitney Museum of American Art,Arts & Culture,,2026-07-07,Mid-Market,https://whitney.org/,North America,Rep A
Apache Software Foundation,,19400.00,2026-03-17,SMB,https://www.apache.org/,North America,Rep A
NAMI,Healthcare,9750.00,2026-06-22,SMB,https://www.nami.org/,Middle East,Rep B
Seattle Foundation,Community Development,51900.00,2026-06-24,,https://www.seattlefoundation.org/,Europe,Rep B
Semper Fi & America's Fund,,96950.00,2026-03-01,Enterprise,https://thefund.org/,North America,Rep D
The Salvation Army USA,,,2026-07-19,Strategic,https://www.salvationarmyusa.org/,North America,Rep B
Accion Opportunity Fund,Human Services,35850.00,2026-03-29,Mid-Market,https://aofund.org/,Middle East,Rep C
Equal Justice Initiative,,18350.00,2026-05-22,SMB,https://eji.org/,North America,Rep D
Allen Institute,Research,63650.00,2026-07-07,Enterprise,https://alleninstitute.org/,Middle East,Rep A
Direct Relief,Healthcare,81950.00,2026-05-01,Enterprise,https://www.directrelief.org/,Europe,Rep A
Center for Constitutional Rights,,73350.00,2024-05-27,Enterprise,https://ccrjustice.org/,North America,Rep D
Barefoot College International,Education,98400.00,2026-07-06,Enterprise,https://barefootcollege.org/,North America,Rep D
Fractured Atlas,Arts & Culture,16450.00,2026-06-02,SMB,https://www.fracturedatlas.org/,Africa,Rep B
Best Friends Animal Society,Animal Welfare,21350.00,,SMB,https://bestfriends.org/,North America,Rep C
Ashoka,Community Development,96300.00,2025-11-07,Enterprise,https://www.ashoka.org/,North America,Rep D
American Kidney Fund,Healthcare,,2026-05-04,Mid-Market,https://www.kidneyfund.org/,Africa,Rep A
Candid,Community Development,62600.00,2024-02-28,Enterprise,https://candid.org/,North America,Rep C
CAMFED,Education,56000.00,2023-05-25,Strategic,https://camfed.org/,North America,Rep B
Woods Hole Oceanographic Institution,Research,4000.00,2026-04-09,SMB,https://www.whoi.edu/,Asia Pacific,Rep C
March of Dimes,Healthcare,,2026-06-17,Enterprise,https://www.marchofdimes.org/,North America,Rep A
EDF,Environment,120000.00,2026-02-13,Enterprise,http://edf.org/,North America,Rep C
Reading Is Fundamental,Education,29350.00,2026-05-24,Mid-Market,https://www.rif.org/,Asia Pacific,Rep D
Team Rubicon,,,2026-03-06,Mid-Market,https://teamrubiconusa.org/,Europe,Rep D
Citizen Schools,Education,28150.00,2026-12-01,Mid-Market,https://www.citizenschools.org/,South America,Rep D
American Diabetes Association,Healthcare,9650.00,2025-06-15,SMB,https://diabetes.org/,North America,Rep B
Church World Service,Religious,25650.00,2025-09-30,,https://cwsglobal.org/,Europe,Rep C
Danish Refugee Council,International Aid,31850.00,2026-07-23,Mid-Market,https://drc.ngo/,South America,Rep B
Creative Commons,,52250.00,,Enterprise,https://creativecommons.org/,North America,Rep A
RSPCA,Animal Welfare,34450.00,2026-06-28,Strategic,https://www.rspca.org.uk/,North America,Rep B
ChildFund International,International Aid,81150.00,2025-05-24,Enterprise,https://www.childfund.org/,Middle East,Rep A
Urban Institute,Research,20050.00,,SMB,https://www.urban.org/,Africa,Rep A
The Trevor Project,Healthcare,36300.00,2026-07-12,,https://www.thetrevorproject.org/,South America,Rep B
National Multiple Sclerosis Society,Healthcare,0.00,2026-03-11,SMB,https://www.nationalmssociety.org/,South America,Rep C
National Audubon Society,,82500.00,2026-05-05,Enterprise,https://www.audubon.org/,Asia Pacific,Rep A
Freedom House,,31450.00,2026-04-05,Mid-Market,https://freedomhouse.org/,Europe,Rep A
Cystic Fibrosis Foundation,Healthcare,27100.00,2026-01-14,Mid-Market,https://www.cff.org/,North America,Rep B
United Cerebral Palsy,Human Services,36300.00,2026-04-05,TBD,https://ucp.org/,Middle East,Rep D
Baptist World Aid Australia,Religious,16050.00,2026-04-03,SMB,https://baptistworldaid.org.au/,Europe,Rep D
World Central Kitchen,Human Services,,2023-07-09,Enterprise,https://wck.org/,Europe,Rep A
Electronic Frontier Foundation,,95350.00,,Enterprise,https://www.eff.org/,Africa,Rep D
International Medical Corps,International Aid,10450.00,,SMB,https://internationalmedicalcorps.org/,South America,Rep D
Pew Research Center,Research,96150.00,2024-04-27,Enterprise,https://www.pewresearch.org/,Africa,Rep A
Lutheran World Relief,Religious,27300.00,2026-07-15,Mid-Market,hello@example.net,North America,Rep D
Oxfam International,Human Services,21200.00,2026-07-13,Mid-Market,https://www.oxfam.org/,North America,Rep D
Project HOPE,Healthcare,9750.00,2024-03-16,SMB,https://www.projecthope.org/,North America,Rep B
Episcopal Relief & Development,,7250.00,2025-02-17,SMB,https://www.episcopalrelief.org/,Europe,Rep B
Trócaire,Religious,88300.00,2026-06-12,Strategic,https://www.trocaire.org/,Asia Pacific,Rep A
American Society for the Prevention of Cruelty to Animals,Animal Welfare,38700.00,2026-02-01,Mid-Market,https://www.aspca.org/,North America,Rep A
BRAC,Human Services,15450.00,2025-11-12,SMB,contact@example.org,North America,Rep C
Big Brothers Big Sisters of America,Human Services,18700.00,2026-01-11,Mid-Market,https://www.bbbs.org/,North America,Rep B
Children's Miracle Network Hospitals,,,2023-05-05,Enterprise,https://childrensmiraclenetworkhospitals.org/,North America,Rep D
PEN America,Arts & Culture,40000.00,2025-05-01,Mid-Market,https://pen.org/,Middle East,Rep C
International Crisis Group,,21850.00,2026-04-08,Mid-Market,https://www.crisisgroup.org/,North America,Rep A
Convoy of Hope,Religious,97700.00,2026-07-03,Enterprise,https://convoyofhope.org/,North America,Rep C
Habitat for Humanity,Human Services,25150.00,2026-02-18,SMB,http://habitat.org/,North America,Rep C
American Civil Liberties Union,,94800.00,2025-09-06,Strategic,https://www.aclu.org/,North America,Rep C
One Acre Fund,,38450.00,2026-03-14,Mid-Market,https://oneacrefund.org/,North America,Rep B
Vera Institute of Justice,,43400.00,2025-05-31,Mid-Market,https://www.vera.org/,North America,Rep A
Operation Smile,Healthcare,10200.00,2026-05-31,SMB,https://www.operationsmile.org/,South America,Rep A
RAINN,,16850.00,2025-12-30,SMB,https://rainn.org/,Africa,Rep C
Ronald McDonald House Charities,Healthcare,33450.00,2026-05-18,Mid-Market,https://rmhc.org/,North America,Rep D
John F. Kennedy Center for the Performing Arts,Arts & Culture,,2026-07-26,Mid-Market,https://www.kennedy-center.org/,Europe,Rep D
Humane World for Animals,,94450.00,2026-06-09,Strategic,https://www.humaneworld.org/,North America,Rep B
826 National,Education,13550.00,2026-07-20,SMB,https://826national.org/,South America,Rep A
National Alliance on Mental Illness,Healthcare,13050.00,2026-07-27,SMB,https://www.nami.org/,Middle East,Rep B
Family Promise,Human Services,44000.00,2026-07-04,TBD,https://familypromise.org/,Africa,Rep A
Feeding America,Human Services,62050.00,2026-07-24,Enterprise,https://www.feedingamerica.org/,Middle East,Rep C
RTI International,Research,,2026-05-16,SMB,https://www.rti.org/,Europe,Rep C
Teach For America,Education,,2025-09-25,SMB,https://www.teachforamerica.org/,Asia Pacific,Rep B
The New York Community Trust,Community Development,48000.00,2026-06-26,Mid-Market,https://thenytrust.org/,North America,Rep A
The Mission Continues,,59950.00,2026-05-14,Enterprise,https://www.missioncontinues.org/,North America,Rep A
Poets & Writers,Arts & Culture,16250.00,2026-07-28,SMB,https://www.pw.org/,North America,Rep B
American Jewish World Service,Religious,5900.00,2025-05-22,SMB,https://ajws.org/,Asia Pacific,Rep C
BUILD,Education,9150.00,2026-02-05,SMB,https://build.org/,South America,Rep B
National Center for Missing & Exploited Children,,9600.00,2026-05-18,SMB,https://www.missingkids.org/,North America,Rep D
Alley Cat Allies,Animal Welfare,70450.00,2026-06-24,Enterprise,https://www.alleycat.org/,Europe,Rep C
Results for America,Community Development,53300.00,2026-05-08,Mid-Market,https://results4america.org/,North America,Rep B
Aga Khan Foundation USA,Religious,22750.00,2026-04-01,TBD,https://akfusa.org/,North America,Rep C
Code for America,,9750.00,2026-06-20,SMB,https://codeforamerica.org/,North America,Rep D
The Metropolitan Museum of Art,Arts & Culture,1250.00,2026-06-18,SMB,https://www.metmuseum.org/,North America,Rep C
Volunteers of America,Human Services,80450.00,2027-06-30,Strategic,https://www.voa.org/,Europe,Rep D
Tearfund,Religious,54050.00,2026-05-18,,https://www.tearfund.org/,Asia Pacific,Rep C
WRI,Environment,4650.00,2025-05-09,SMB,https://www.wri.org/,Europe,Rep D
Mennonite Central Committee,Religious,2600.00,2023-10-15,SMB,https://mcc.org/,Africa,Rep B
Polaris,,5300.00,2026-06-12,SMB,https://polarisproject.org/,Middle East,Rep C
StoryCorps,Arts & Culture,8500.00,2025-11-21,SMB,https://storycorps.org/,Europe,Rep D
Open Knowledge Foundation,,28550.00,2026-07-14,Mid-Market,https://okfn.org/,North America,Rep A
NetHope,Community Development,6000.00,2024-11-08,SMB,https://nethope.org/,Europe,Rep A
Rebuilding Together,Community Development,,2026-06-06,SMB,https://rebuildingtogether.org/,Africa,Rep C
Islamic Relief Worldwide,Religious,16250.00,2026-04-13,SMB,https://islamic-relief.org/,Asia Pacific,Rep B
Breakthrough Collaborative,Education,109250.00,2026-07-24,Strategic,https://breakthroughcollaborative.org/,South America,Rep C
BirdLife International,Environment,21900.00,2024-01-14,Mid-Market,https://www.birdlife.org/,Asia Pacific,Rep B
Food Bank For New York City,Human Services,,2026-06-30,Enterprise,https://www.foodbanknyc.org/,Europe,Rep B
Oceana,,56900.00,2025-02-02,Mid-Market,https://oceana.org/,North America,Rep C
Operation Blessing,Religious,,2025-01-05,SMB,https://ob.org/,North America,Rep C
The Nature Conservancy,Environment,,,Mid-Market,https://www.nature.org/,Europe,Rep D
Fisher House Foundation,,54300.00,2026-07-09,Mid-Market,https://www.fisherhouse.org/,North America,Rep B
Rotary International,Community Development,1850.00,2024-04-24,SMB,https://www.rotary.org/,North America,Rep A
GlobalGiving,Community Development,53050.00,2026-05-01,Mid-Market,https://www.globalgiving.org/,Asia Pacific,Rep A
World Resources Institute,Environment,6000.00,2026-07-20,SMB,https://www.wri.org/,Europe,Rep D
ASPCA,Animal Welfare,43900.00,2023-02-02,Mid-Market,https://www.aspca.org/,North America,Rep A
CMMB,Religious,,,Mid-Market,https://cmmb.org/,Middle East,Rep A
RAND Corporation,Research,47400.00,2026-06-29,Mid-Market,https://www.rand.org/,South America,Rep C
Brennan Center for Justice,,12400.00,2026-07-13,SMB,https://www.brennancenter.org/,Asia Pacific,Rep A
WWF,Environment,65000.00,2026-05-26,Mid-Market,http://worldwildlife.org/,North America,Rep A
VolunteerMatch,Community Development,58750.00,2026-03-11,Strategic,https://www.volunteermatch.org/,North America,Rep C
Worldreader,Education,28950.00,2026-07-13,Mid-Market,https://www.worldreader.org/,Middle East,Rep D
Greenpeace International,Environment,29600.00,2026-03-17,Mid-Market,https://www.greenpeace.org/,South America,Rep B
Year Up United,Education,64200.00,2026-05-16,Strategic,https://www.yearup.org/,Africa,Rep C
QuestBridge,Education,69900.00,2026-07-01,Strategic,https://www.questbridge.org/,North America,Rep B
Christian Aid,Religious,64400.00,2024-07-13,Enterprise,https://www.christianaid.org.uk/,North America,Rep D
American Cancer Society,Healthcare,34800.00,,Mid-Market,https://www.cancer.org/,Europe,Rep C
Compassion International,Religious,31600.00,,Mid-Market,https://www.compassion.com/,South America,Rep B
Pact,International Aid,46250.00,2026-07-25,Mid-Market,https://www.pactworld.org/,North America,Rep B
California Community Foundation,Community Development,52950.00,2025-12-17,Mid-Market,https://www.calfund.org/,North America,Rep C
Southern Poverty Law Center,,22500.00,2026-05-09,Mid-Market,https://www.splcenter.org/,North America,Rep B
The Posse Foundation,Education,20050.00,,SMB,https://www.possefoundation.org/,North America,Rep C
American Foundation for Suicide Prevention,,45950.00,,Mid-Market,https://afsp.org/,Africa,Rep B
Kiva,Human Services,0.00,2027-01-15,Mid-Market,https://www.kiva.org/,North America,Rep A
Python Software Foundation,,11200.00,2023-06-29,SMB,https://www.python.org/psf/,North America,Rep B
Médecins Sans Frontières USA,Healthcare,78050.00,2024-02-04,Strategic,http://doctorswithoutborders.org/,Europe,Rep B
PETA,Animal Welfare,8000.00,2025-02-01,SMB,https://www.peta.org/,North America,Rep B
Innocence Project,,,2026-07-05,Strategic,https://innocenceproject.org/,North America,Rep D
World Vision International,Religious,25150.00,2026-05-15,Mid-Market,https://www.worldvision.org/,North America,Rep C
NPR,Arts & Culture,38450.00,2026-07-08,Mid-Market,team@example.com,North America,Rep D
Environmental Defense Fund,Environment,95150.00,2026-05-24,Enterprise,https://www.edf.org/,North America,Rep C
FOUR PAWS International,Animal Welfare,26750.00,2026-05-11,Mid-Market,https://www.four-paws.org/,North America,Rep B
Muscular Dystrophy Association,Healthcare,22900.00,2026-07-04,SMB,https://www.mda.org/,North America,Rep D
